Format: sender,receiver,message,timestamp

cpsc3600,all,Well reset it all,2021-07-19 15:55:46.450255
cpsc3600,all,Be there when you call,2021-07-19 15:55:52.820254
cpsc3600,all,We will stand real tall,2021-07-19 15:56:00.269284
cpsc3600,all,Were stronger after all,2021-07-19 15:56:11.558448
cpsc3600,all,It is working!,2021-07-19 21:45:15.394174
bob,all,Can I eat this entire can of frosting for lunch?,2021-07-19 22:01:30.922028
cpsc3600,all,Yeah sure,2021-07-19 22:03:58.207914
cpsc3600,all,Needs more marble columns,2021-07-19 22:44:40.052356
cpsc3600,all,Think Think THINK! BRAINBLAST!!!,2021-07-19 22:52:51.145220
cpsc3600,all,Laser arrow!,2021-07-19 22:54:46.993725
cpsc3600,all,Luke I am your father,2021-07-20 10:44:41.933507
cpsc3600,all,Hello World!,2021-07-20 11:55:15.460012
